Code,University ,Code of university,City,Address
5B110100,"JSC ""Astana medical university""",1,Nur-Sultan,"Beybitshilik street, 49A"
5B110200,"JSC ""Astana medical university""",1,Nur-Sultan,"Beybitshilik street, 49A"
5B110300,"JSC ""Astana medical university""",1,Nur-Sultan,"Beybitshilik street, 49A"
5B130100,"JSC ""Astana medical university""",1,Nur-Sultan,"Beybitshilik street, 49A"
5B130200,"JSC ""Astana medical university""",1,Nur-Sultan,"Beybitshilik street, 49A"
5B012000,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B042000,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B042100,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B050600,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B050700,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B050800,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B050900,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B051100,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B060800,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B070100,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B070300,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B070400,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B071100,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B071300,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B071700,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B071800,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B071900,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B072400,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B072700,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B072800,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B073200,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B080100,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B080200,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B080300,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B080400,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B080600,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B080700,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B080800,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B081100,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B081200,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B090100,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B090300,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B090700,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B090800,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B120100,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B120200,JSC «Kazakh agrotechnical University of. S.Seifullin» ,2,Nur-Sultan,"Zhenis avenue, 62"
5B010200,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B010300,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B010800,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B010900,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B011000,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B011100,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B011300,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B011400,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B011600,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B011700,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B011800,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B011900,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B020200,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B020700,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B030100,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
5B050600,Republican state enterprise on the basis of economic conduct «Caspian state techology and engineering university of S.Yessenov»,3,Aktau,"microdistrict 32, 1"
