Code,University ,Code of university ,City,Address
5B110100 ,Акционерное общество «Медицинский университет Астана»,1,Нур-Султан,"улица Бейбітшілік, 49A"
5B110200 ,Акционерное общество «Медицинский университет Астана»,1,Нур-Султан,"улица Бейбітшілік, 49A"
5B110300 ,Акционерное общество «Медицинский университет Астана»,1,Нур-Султан,"улица Бейбітшілік, 49A"
5B130100 ,Акционерное общество «Медицинский университет Астана»,1,Нур-Султан,"улица Бейбітшілік, 49A"
5B130200 ,Акционерное общество «Медицинский университет Астана»,1,Нур-Султан,"улица Бейбітшілік, 49A"
5B012000 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B042000 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B042100 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B050600 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B050700 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B050800 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B050900 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B051100 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B060800 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B070100 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B070300 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B070400 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B071100 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B071300 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B071700 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B071800 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B071900 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B072400 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B072700 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B072800 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B073200 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B080100 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B080200 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B080300 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B080400 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B080600 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B080700 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B080800 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B081100 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B081200 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B090100 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B090300 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B090700 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B090800 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B120100 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
5B120200 ,Акционерное общество «Казахский агротехнический университет имени Сакена Сейфуллина»,2,Нур-Султан,"проспект Женис, 62"
 5B011100 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
 5B011300 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
 5B011400 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
 5B011600 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
 5B011700 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
 5B011800 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
 5B011900 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
 5B020700 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
 5B030100 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B010200,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B010300 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B010800 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B010900 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B011000 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B020200 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B050600 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B050700 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B050800 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B050900 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
5B051000 ,Республиканское государственное предприятие на праве хозяйственного ведения «Каспийский государственный университет технологий и инжиниринга имени Ш. Есенова»,3,Актау,"микрорайон 32, 1"
