Code,Speciality kz,Speciality rus,Speciality eng
5B110100 , Мейірбике ісі, Сестринское дело, Nursing
5B110200 , Қоғамдық денсаулық сақтау, Общественное здравоохранение, Public Health
5B110300 , Фармация, Фармация, Pharmacy
5B130100 , Жалпы медицина, Общая медицина, General Medicine
5B130200 , Стоматология, Стоматология, Dentistry
5B012000 , Кәсіптік оқыту, Профессиональное обучение, Professional training
5B042000 , Архитектура, Архитектура, Architecture
5B042100 , Дизайн, Дизайн, Design
5B050600 , Экономика, Экономика, Economics
5B050700 , Менеджмент, Менеджмент, Management
5B050800 , Есеп және аудит, Учет и аудит, Accounting and Audit
5B050900 , Қаржы, Финансы, Finance
5B051100 , Маркетинг, Маркетинг, Marketing
5B060800 , Экология, Экология, Ecology
5B070100 , Биотехнология, Биотехнология, Biotechnology
5B070300 , Ақпараттық жүйелер, Информационные системы, Information Systems
5B070400 , Есептеу техникасы және бағдарламалық қамтамасыз ету, Вычислительная техника и программное обеспечение, Computer Science and Software
5B071100 , Геодезия және картография , Геодезия и картография , Geodesy and Cartography
5B071300 ," Көлік, көліктік техника және технологиялар"," Транспорт, транспортная техника и технологии"," Transport, transport equipment and technologies"
5B071700 , Жылу энергетикасы, Теплоэнергетика, Heat Power engineering
5B071800 , Электр энергетикасы, Электроэнергетика, Electrical Power engineering
5B071900 ," Радиотехника, электроника және телекоммуникациялар"," Радиотехника, электроника и телекоммуникации"," Radiotechnics, electronics and telecommunications"
5B072400 , Технологиялық машиналар және жабдықтар (сала бойынша), Технологические машины и оборудование (по отраслям), Technological Machinery and Equipment
5B072700 , Азық-түлік өнімдерінің технологиясы, Технология продовольственных продуктов, Food Technology
5B072800 , Қайта өңдеу өндірістерінің технологиясы, Технология перерабатывающих производств (по отраслям), Technology of processing industries
5B073200 , Стандарттау және сертификаттау (салалар бойынша), Стандартизация и сертификация  (по отраслям)," Standardization, certification and metrology"
5B080100 , Агрономия, Агрономия, Agronomy
5B080200 , Мал шаруашылығы өнімдерін өндіру технологиясы, Технология производства продуктов животноводства, Technology of processing of animal products
5B080300 , Аңшылықтану және аң шаруашылығы, Охотоведение и звероводство, Hunting study and fur farming
5B080400 , Балық шаруашылығы және өнеркәсіптік балық аулау, Рыбное хозяйство и промышленное рыболовство, Fisheries and industrial fishing
5B080600 , Аграрлық техника және технология, Аграрная техника и технология, Agrarian technique and technology
5B080700 , Орман ресурстары және орман шаруашылығы, Лесные ресурсы и лесоводство, Forest resources and forestry
5B080800 , Топырақтану және агрохимия, Почвоведение и агрохимия, Soil science and agrochemistry
5B081100 , Өсімдік қорғау және карантин, Защита и карантин растений, Plant protection and quarantine
5B081200 , Ауыл шаруашылығын энергиямен қамтамасыз ету, Энергообеспечение сельского хозяйства, Energy supply of agriculture
5B090100 , Көлікті пайдалану және жүк қозғалысы мен тасымалдауды ұйымдастыру," Организация перевозок, движения и эксплуатация транспорта"," The organization of transportation, movement and transport operation"
5B090300 , Жерге орналастыру, Землеустройство, Land use planning
5B090700 , Кадастр, Кадастр, Cadastre
5B090800 , Бағалау, Оценка, Estimation
5B120100 , Ветеринарлық медицина, Ветеринарная медицина, Veterinary medicine
5B120200 , Ветеринарлық санитария, Ветеринарная санитария, Veterinary Sanitation
 5B011100 , Информатика, Информатика,Pedagogy and methods of primary education
 5B011300 , Биология, Биология, Pedagogy and Psychology
 5B011400 , Тарих, История, Physical education and Sport
 5B011600 , География, География, Mathematics
 5B011700 , Қазақ тілі мен әдебиеті, Казахский язык и литература, Physics
 5B011800 , Орыс тілі мен әдебиеті, Русский язык и литература, Informatics
 5B011900 , Шет тілі: екі шет тілі (ағылшын тілі), Иностранный язык: два иностранных языка (английский язык), Biology
 5B020700 , Аударма ісі, Переводческое дело, History
 5B030100 , Құқықтану, Юриспруденция, Geography
5B010200,Бастауыш оқытудың педагогикасы және әдістемесі,Педагогика и методика начального обучения, Kazakh Language and Literature
5B010300 , Педагогика және психология, Педагогика и психология, Russian Language and Literature
5B010800 , Дене шынықтыру және спорт, Физическая культура и спорт, Foreign language: two foreign languages (English Language)
5B010900 , Математика, Математика, International relations
5B011000 , Физика, Физика, Translation studies
5B020200 , Халықаралық қатынастар, Международные отношения, Jurisprudence
5B050600 , Экономика, Экономика, Economics
5B050700 , Менеджмент, Менеджмент, Management
5B050800 , Есеп және аудит, Учет и аудит, Accounting and Audit
5B050900 , Қаржы, Финансы, Finance
5B051000 , Мемлекеттік және жергілікті басқару, Государственное и местное управление, State and local government
5B060800 , Экология, Экология, Ecology
5B070300 , Ақпараттық жүйелер, Информационные системы, Information Systems
5B070600 , Геология және пайдалы қазбалар кен орнын барлау, Геология и разведка месторождений полезных ископаемых, Geology and Exploration of Mineral Deposits
5B070800 , Мұнай-газ ісі, Нефтегазовое дело, Oil and Gas industry
5B071200 , Машина жасау, Машиностроение, Mechanical engineering
5B071300 ," Көлік, көліктік техника және технологиялар"," Транспорт, транспортная техника и технологии"," Transport, transport equipment and technologies"
5B071500 , Теңіз техникасы және технологиясы, Морская техника и технологии, Морская техника и технологии
5B071800 , Электр энергетикасы, Электроэнергетика, Electrical Power engineering
5B072100 , Органикалық заттардың химиялық технологиясы, Химическая технология органических веществ, Chemical technology of organic substances
5B072400 , Технологиялық машиналар және жабдықтар (сала бойынша), Технологические машины и оборудование (по отраслям), Technological Machinery and Equipment
5B072900 , Құрылыс, Строительство, Civil Engineering
5B073100 , Қоршаған ортаны қорғау және өмір тіршілігінің қауіпсіздігі, Безопасность жизнедеятельности и защита окружающей среды, Life safety and environmental protection
5B073200 , Стандарттау және сертификаттау (салалар бойынша), Стандартизация и сертификация  (по отраслям)," Standardization, certification and metrology"
5B090100 , Көлікті пайдалану және жүк қозғалысы мен тасымалдауды ұйымдастыру," Организация перевозок, движения и эксплуатация транспорта"," The organization of transportation, movement and transport operation"
5B090200 , Туризм, Туризм, Tourism
5B090300 , Жерге орналастыру, Землеустройство, Land use planning
5B090700 , Кадастр, Кадастр, Cadastre
5B110100 , Мейірбике ісі, Сестринское дело, Nursing
5B110200 , Қоғамдық денсаулық сақтау, Общественное здравоохранение, Public Health
5B110300 , Фармация, Фармация, Pharmacy
5B130100 , Жалпы медицина, Общая медицина, General Medicine
5B130200 , Стоматология, Стоматология, Dentistry
 5B010500 , Дефектология, Дефектология,Pre-school education and training
 5B010700 , Бейнелеу өнері және сызу, Изобразительное искусство и черчение,Pedagogy and methods of primary education
 5B011100 , Информатика, Информатика, Pedagogy and Psychology
 5B011200 , Химия, Химия, Defectology
 5B011300 , Биология, Биология, Musical education
 5B011400 , Тарих, История, Fine arts and drawing
 5B011600 , География, География, Physical education and Sport
 5B011700 , Қазақ тілі мен әдебиеті, Казахский язык и литература, Mathematics
 5B011800 , Орыс тілі мен әдебиеті, Русский язык и литература, Physics
 5B011900 , Шет тілі: екі шет тілі (ағылшын тілі), Иностранный язык: два иностранных языка (английский язык), Informatics
 5B012100 , Қазақ тілінде оқытпайтын мектептердегі қазақ тілі мен әдебиеті, Казахский язык и литература в школах с неказахским языком обучения, Chemistry
 5B012300 , Әлеуметтік педагогика және өзін-өзі тану, Социальная педагогика и самопознание, Biology
 5B012900 , География -  Тарих, География -  История, History
 5B013000 , Тарих - Дінтану, История - Религиоведение, Geography
 5B020500 , Филология: қазақ тілі, Филология: казахский язык, Kazakh Language and Literature
 5B020700 , Аударма ісі, Переводческое дело, Russian Language and Literature
 5B021000 , Шетел филологиясы: ағылшын тілі, Иностранная филология: английский язык, Foreign language: two foreign languages (English Language)
 5B030100 , Құқықтану, Юриспруденция, Professional training
5B010100,Мектепке дейінгі оқыту мен тәрбиелеу,Дошкольное обучение и воспитание, Kazakh Language and Literature in schools with non-kazakh language learning
5B010200,Бастауыш оқытудың педагогикасы және әдістемесі,Педагогика и методика начального обучения, Social pedagogy and self-knowledge
5B010300 , Педагогика және психология, Педагогика и психология, Geography - History
5B010600 , Музыкалық білім, Музыкальное образование, History-religiousness
5B010800 , Дене шынықтыру және спорт, Физическая культура и спорт, History
5B010900 , Математика, Математика, Philology: Kazakh Language
5B011000 , Физика, Физика, Translation studies
5B012000 , Кәсіптік оқыту, Профессиональное обучение, Foreign philology: English Language
5B020300 , Тарих, История, Jurisprudence
5B040900 , Хореография, Хореография, Choreography
5B042100 , Дизайн, Дизайн, Design
5B050300 , Психология, Психология, Psychology
5B050600 , Экономика, Экономика, Economics
5B050700 , Менеджмент, Менеджмент, Management
5B050800 , Есеп және аудит, Учет и аудит, Accounting and Audit
5B050900 , Қаржы, Финансы, Finance
5B051000 , Мемлекеттік және жергілікті басқару, Государственное и местное управление, State and local government
5B051100 , Маркетинг, Маркетинг, Marketing
5B051300 , Әлемдік экономика, Мировая экономика, World economy
5B060100 , Математика, Математика, Mathematics
5B060200 , Информатика, Информатика, Informatics
5B060400 , Физика, Физика, Physics
5B060600 , Химия, Химия, Chemistry
5B060700 , Биология, Биология, Biology
5B060800 , Экология, Экология, Ecology
5B070300 , Ақпараттық жүйелер, Информационные системы, Information Systems
5B070400 , Есептеу техникасы және бағдарламалық қамтамасыз ету, Вычислительная техника и программное обеспечение, Computer Science and Software
5B070500 , Математикалық және компьютерлік моделдеу, Математическое и компьютерное моделирование, Mathematical and Computer Modeling
5B070700 , Тау-кен ісі, Горное дело, Mining
5B070800 , Мұнай-газ ісі, Нефтегазовое дело, Oil and Gas industry
5B070900 , Металлургия, Металлургия, Metallurgy
5B071300 ," Көлік, көліктік техника және технологиялар"," Транспорт, транспортная техника и технологии"," Transport, transport equipment and technologies"
5B072000 , Бейорганикалық заттардың химиялық технологиясы, Химическая технология неорганических веществ, Chemical technology of inorganic substances
5B072100 , Органикалық заттардың химиялық технологиясы, Химическая технология органических веществ, Chemical technology of organic substances
