,# of rooms,Area,Floor,Location,Price
0,2,60.0,4,Ауэзовский,17900000.0
1,2,54.0,4,Алмалинский,18300000.0
2,2,77.0,11,Алмалинский,23500000.0
3,1,41.9,7,Бостандыкский,21135000.0
4,1,73.4,5,Бостандыкский,31327000.0
5,4,153.0,11,Ауэзовский,49500000.0
6,2,54.8,5,Алатауский,13974000.0
7,2,64.5,5,Медеуский,35152500.0
8,1,21.0,4,Ауэзовский,5900000.0
9,3,90.9,3,Жетысуский,32000000.0
10,1,31.0,4,Бостандыкский,11800000.0
11,1,31.0,4,Бостандыкский,11800000.0
12,1,27.0,9,Ауэзовский,12000000.0
13,2,63.0,4,Ауэзовский,19000000.0
14,3,67.5,4,Медеуский,31000000.0
15,2,86.0,11,Медеуский,41000000.0
16,4,115.8,5,Медеуский,45000000.0
17,3,70.0,4,Бостандыкский,28800000.0
18,4,95.0,6,Бостандыкский,41000000.0
19,2,58.2,6,Алатауский,15132000.0
20,2,120.0,16,Медеуский,78000000.0
21,3,58.0,1,Ауэзовский,15500000.0
22,3,67.0,3,Бостандыкский,27000000.0
23,3,67.0,2,Турксибский,15500000.0
24,2,59.1,2,Турксибский,14500000.0
25,2,50.6,5,Жетысуский,12000000.0
26,3,64.0,5,Жетысуский,19000000.0
27,3,59.0,3,Бостандыкский,21000000.0
28,2,95.0,2,Бостандыкский,43000000.0
29,2,70.0,3,Турксибский,19900000.0
30,3,65.0,4,Алмалинский,23500000.0
31,3,100.0,7,Бостандыкский,68000000.0
32,2,70.0,3,Турксибский,19900000.0
33,3,65.0,4,Алмалинский,23500000.0
34,3,100.0,7,Бостандыкский,68000000.0
35,2,63.3,4,Жетысуский,13500000.0
36,2,54.8,6,Алатауский,18800000.0
37,2,45.0,3,Ауэзовский,13900000.0
38,4,74.0,2,Алмалинский,24500000.0
39,2,43.0,5,Алмалинский,16500000.0
40,3,59.0,1,Ауэзовский,14800000.0
41,1,41.0,8,Ауэзовский,15500000.0
42,1,32.0,1,Алмалинский,12000000.0
43,2,85.0,15,Алмалинский,19800000.0
44,3,87.3,8,Бостандыкский,35000000.0
45,4,181.0,4,Медеуский,90000000.0
46,3,60.0,3,Бостандыкский,22000000.0
47,1,54.0,5,Алатауский,15500000.0
48,2,88.0,9,Медеуский,37000000.0
49,2,63.0,2,Ауэзовский,21000000.0
50,2,86.0,5,Бостандыкский,35555555.0
51,3,91.0,3,Жетысуский,31000000.0
52,1,33.0,1,Алмалинский,14000000.0
53,1,64.0,7,Алмалинский,13500000.0
54,3,105.0,5,Бостандыкский,53000000.0
55,3,128.0,1,Бостандыкский,49280000.0
56,4,115.0,2,Бостандыкский,48000000.0
57,4,140.0,4,Медеуский,59000000.0
58,3,115.0,2,Бостандыкский,48000000.0
59,3,90.0,2,Бостандыкский,39000000.0
60,3,128.0,1,Бостандыкский,49000000.0
61,4,150.0,2,Бостандыкский,63525000.0
62,2,90.0,2,Бостандыкский,36500000.0
63,3,150.0,2,Бостандыкский,68600000.0
64,3,134.0,12,Медеуский,98000000.0
65,2,56.0,1,Ауэзовский,17600000.0
66,2,44.0,3,Ауэзовский,17000000.0
67,2,52.0,5,Ауэзовский,15000000.0
68,2,66.0,5,Бостандыкский,25300000.0
69,2,93.0,10,Бостандыкский,32800000.0
70,1,30.0,1,Бостандыкский,12000000.0
71,4,141.0,20,Алмалинский,40000000.0
72,3,80.0,5,Медеуский,32000000.0
73,2,57.7,5,Алмалинский,20000000.0
74,1,35.0,4,Алмалинский,15800000.0
75,3,90.0,3,Алмалинский,44500000.0
76,3,82.4,7,Алмалинский,40550000.0
77,1,45.0,6,Медеуский,20000000.0
78,2,60.0,2,Алмалинский,24000000.0
79,2,64.3,9,Алмалинский,34700000.0
80,2,65.0,3,Алмалинский,24500000.0
81,3,60.0,3,Бостандыкский,21500000.0
82,4,90.0,2,Бостандыкский,40000000.0
83,2,62.0,2,Ауэзовский,21000000.0
84,2,42.0,3,Бостандыкский,19200000.0
85,3,54.0,2,Бостандыкский,25000000.0
86,2,51.0,5,Алмалинский,26000000.0
87,2,63.0,2,Алмалинский,21500000.0
88,3,80.0,8,Медеуский,27000000.0
89,1,32.4,1,Наурызбайский,8900000.0
90,1,34.0,3,Медеуский,19900000.0
91,1,50.0,8,Ауэзовский,15080000.0
92,2,42.0,4,Бостандыкский,16500000.0
93,3,63.0,5,Алмалинский,19000000.0
94,2,66.0,9,Ауэзовский,22800000.0
95,2,65.0,8,Бостандыкский,28000000.0
96,2,70.08,7,Медеуский,44000000.0
97,1,40.0,7,Ауэзовский,12300000.0
98,3,78.0,2,Бостандыкский,40500000.0
99,2,44.0,3,Медеуский,19500000.0
100,3,70.0,6,Ауэзовский,24000000.0
101,3,172.0,2,Медеуский,104000000.0
102,4,150.0,15,Алмалинский,84400000.0
103,5,220.0,5,Алмалинский,147000000.0
104,4,165.0,16,Бостандыкский,133500000.0
105,5,168.0,3,Медеуский,67990000.0
106,3,65.0,5,Ауэзовский,22000000.0
107,2,56.0,5,Алмалинский,20000000.0
108,2,66.0,7,Бостандыкский,37000000.0
109,1,46.8,5,Алмалинский,17082000.0
110,4,195.0,3,Медеуский,96500000.0
111,4,80.0,4,Медеуский,41900000.0
