,Location,Date,Tag
0,Тараз,21.11.2019 18:49,Изнасилование
1,Тараз,20.11.2019 01:55,Изнасилование
2,Тараз,19.11.2019 20:13,Изнасилование
3,Тараз,19.11.2019 11:08,Изнасилование
4,Тараз,18.11.2019 23:08,Изнасилование
5,null,14.11.2019 17:31,Изнасилование
6,Павлодар,12.11.2019 11:45,Изнасилование
7,Алма-ата,12.11.2019 09:48,Изнасилование
8,null,11.11.2019 11:16,Изнасилование
9,null,08.11.2019 16:49,Изнасилование
10,null,06.11.2019 16:03,Изнасилование
11,Туркестан,24.10.2019 17:52,Изнасилование
12,Тараз,23.10.2019 00:09,Изнасилование
13,Шымкент,22.10.2019 10:48,Изнасилование
14,Шымкент,21.10.2019 11:49,Изнасилование
15,Алма-ата,19.10.2019 05:08,Изнасилование
16,null,17.10.2019 17:10,Изнасилование
17,Шымкент,17.10.2019 11:17,Изнасилование
18,null,15.10.2019 14:52,Изнасилование
19,null,13.10.2019 22:24,Изнасилование
20,Нур-Султан,10.10.2019 00:14,Изнасилование
21,Нур-Султан,09.10.2019 16:46,Изнасилование
22,Павлодар,05.10.2019 15:57,Изнасилование
23,null,04.10.2019 17:27,Изнасилование
24,null,04.10.2019 16:02,Изнасилование
25,null,04.10.2019 15:39,Изнасилование
26,Павлодар,04.10.2019 13:45,Изнасилование
27,null,02.10.2019 11:08,Изнасилование
28,Павлодар,01.10.2019 15:54,Изнасилование
29,Павлодар,30.09.2019 12:41,Изнасилование
30,Караганда,29.09.2019 13:43,Изнасилование
31,Нур-Султан,26.09.2019 18:28,Изнасилование
32,Алма-ата,26.09.2019 13:24,Изнасилование
33,null,26.09.2019 08:09,Изнасилование
34,null,25.09.2019 09:00,Изнасилование
35,null,24.09.2019 14:49,Изнасилование
36,null,24.09.2019 10:23,Изнасилование
37,null,23.09.2019 15:41,Изнасилование
38,null,23.09.2019 12:31,Изнасилование
39,null,23.09.2019 10:20,Изнасилование
40,null,22.09.2019 04:51,Изнасилование
41,Алма-ата,21.09.2019 14:18,Изнасилование
42,null,20.09.2019 11:04,Изнасилование
43,Атырау,19.09.2019 08:31,Изнасилование
44,Нур-Султан,17.09.2019 17:22,Изнасилование
45,Нур-Султан,17.09.2019 16:38,Изнасилование
46,null,17.09.2019 07:05,Изнасилование
47,null,14.09.2019 03:04,Изнасилование
48,Костанай,13.09.2019 13:32,Изнасилование
49,Костанай,11.09.2019 18:57,Изнасилование
50,null,11.09.2019 12:59,Изнасилование
51,null,10.09.2019 11:18,Изнасилование
52,Алма-ата,08.09.2019 04:05,Изнасилование
53,Костанай,07.09.2019 15:20,Изнасилование
54,Нур-Султан,06.09.2019 17:09,Изнасилование
55,Костанай,06.09.2019 16:08,Изнасилование
56,Костанай,06.09.2019 14:25,Изнасилование
57,Шымкент,05.09.2019 08:34,Изнасилование
58,Шымкент,04.09.2019 21:33,Изнасилование
59,null,28.08.2019 17:46,Изнасилование
60,Алма-ата,26.08.2019 12:21,Изнасилование
61,null,23.08.2019 19:57,Изнасилование
62,null,22.08.2019 18:35,Изнасилование
63,null,22.08.2019 16:38,Изнасилование
64,null,22.08.2019 16:08,Изнасилование
65,Костанай,22.08.2019 14:49,Изнасилование
66,Алма-ата,21.08.2019 17:14,Изнасилование
67,null,21.08.2019 12:34,Изнасилование
68,Алма-ата,21.08.2019 12:11,Изнасилование
69,null,21.08.2019 01:36,Изнасилование
70,Костанай,16.08.2019 13:05,Изнасилование
71,null,15.08.2019 09:41,Изнасилование
72,Алма-ата,14.08.2019 23:47,Изнасилование
73,null,12.08.2019 17:08,Изнасилование
74,null,12.08.2019 15:57,Изнасилование
75,Нур-Султан,12.08.2019 01:39,Изнасилование
76,null,09.08.2019 14:30,Изнасилование
77,Уральск,09.08.2019 12:24,Изнасилование
78,Алма-ата,08.08.2019 16:48,Изнасилование
79,Нур-Султан,07.08.2019 16:11,Изнасилование
80,null,07.08.2019 15:53,Изнасилование
81,null,05.08.2019 17:22,Изнасилование
82,null,04.08.2019 22:55,Изнасилование
83,null,02.08.2019 18:15,Изнасилование
84,Алма-ата,02.08.2019 15:56,Изнасилование
85,Алма-ата,02.08.2019 12:39,Изнасилование
86,null,02.08.2019 11:37,Изнасилование
87,null,01.08.2019 12:40,Изнасилование
88,null,31.07.2019 15:53,Изнасилование
89,null,31.07.2019 13:50,Изнасилование
90,null,31.07.2019 12:52,Изнасилование
91,null,31.07.2019 12:50,Изнасилование
92,null,31.07.2019 11:00,Изнасилование
93,null,30.07.2019 12:19,Изнасилование
94,Костанай,29.07.2019 22:19,Изнасилование
95,Шымкент,29.07.2019 15:11,Изнасилование
96,Нур-Султан,28.07.2019 19:48,Изнасилование
97,Алма-ата,28.07.2019 07:33,Изнасилование
98,null,27.07.2019 10:38,Изнасилование
99,null,26.07.2019 18:51,Изнасилование
100,null,26.07.2019 13:49,Изнасилование
101,Туркестан,22.07.2019 12:46,Изнасилование
102,null,16.07.2019 05:11,Изнасилование
103,null,12.07.2019 17:16,Изнасилование
104,Алма-ата,28.06.2019 01:15,Изнасилование
105,null,22.06.2019 01:45,Изнасилование
106,null,06.06.2019 23:21,Изнасилование
107,null,03.06.2019 21:41,Изнасилование
108,Алма-ата,24.05.2019 11:45,Изнасилование
109,Алма-ата,16.05.2019 18:39,Изнасилование
110,null,21.03.2019 08:26,Изнасилование
111,null,06.03.2019 15:27,Изнасилование
112,Шымкент,06.02.2019 21:46,Изнасилование
113,null,11.01.2019 07:51,Изнасилование
114,null,10.01.2019 21:57,Изнасилование
115,null,07.01.2019 22:12,Изнасилование
116,null,21.12.2018 00:14,Изнасилование
117,Актау,07.12.2018 20:39,Изнасилование
118,Туркестан,22.11.2018 21:26,Изнасилование
119,Алма-ата,25.11.2019 19:12,избиение
120,Караганда,25.11.2019 17:32,избиение
121,null,25.11.2019 16:09,избиение
122,Алма-ата,21.11.2019 13:45,избиение
123,null,18.11.2019 16:32,избиение
124,Алма-ата,18.11.2019 13:21,избиение
125,Павлодар,15.11.2019 17:53,избиение
126,Нур-Султан,11.11.2019 09:02,избиение
127,null,10.11.2019 21:34,избиение
128,null,08.11.2019 00:06,избиение
129,Алма-ата,06.11.2019 11:58,избиение
130,Алма-ата,28.10.2019 17:59,избиение
131,null,20.10.2019 21:35,избиение
132,Алма-ата,19.10.2019 05:08,избиение
133,null,17.10.2019 13:29,избиение
134,Алма-ата,16.10.2019 17:14,избиение
135,Алма-ата,03.10.2019 01:33,избиение
136,Алма-ата,02.10.2019 16:48,избиение
137,null,01.10.2019 01:08,избиение
138,Нур-Султан,26.09.2019 18:28,избиение
139,Кызылорда,25.09.2019 18:44,избиение
140,Алма-ата,25.09.2019 09:30,избиение
141,Алма-ата,24.09.2019 20:46,избиение
142,Алма-ата,24.09.2019 16:56,избиение
143,Алма-ата,24.09.2019 12:56,избиение
144,Алма-ата,24.09.2019 11:59,избиение
145,Уральск,20.09.2019 15:06,избиение
146,Павлодар,13.09.2019 11:01,избиение
147,Павлодар,13.09.2019 05:10,избиение
148,null,10.09.2019 10:19,избиение
149,null,08.09.2019 21:15,избиение
150,Алма-ата,05.09.2019 18:09,избиение
151,null,04.09.2019 11:54,избиение
152,Алма-ата,03.09.2019 16:03,избиение
153,Алма-ата,03.09.2019 09:18,избиение
154,Алма-ата,03.09.2019 01:28,избиение
155,Нур-Султан,02.09.2019 17:51,избиение
156,null,02.09.2019 16:58,избиение
157,null,23.08.2019 10:53,избиение
158,Шымкент,23.08.2019 08:55,избиение
159,Шымкент,21.08.2019 09:00,избиение
160,Туркестан,20.08.2019 12:47,избиение
161,Караганда,19.08.2019 19:45,избиение
162,null,17.08.2019 13:37,избиение
163,Туркестан,17.08.2019 12:16,избиение
164,Туркестан,16.08.2019 18:34,избиение
165,null,16.08.2019 16:33,избиение
166,null,15.08.2019 19:09,избиение
167,null,07.08.2019 06:44,избиение
168,Алма-ата,05.08.2019 18:58,избиение
169,Алма-ата,05.08.2019 18:26,избиение
170,Алма-ата,02.08.2019 15:16,избиение
171,Павлодар,02.08.2019 06:42,избиение
172,Алма-ата,01.08.2019 15:09,избиение
173,Алма-ата,01.08.2019 12:40,избиение
174,Алма-ата,31.07.2019 14:48,избиение
175,Алма-ата,30.07.2019 17:52,избиение
176,Алма-ата,30.07.2019 14:38,избиение
177,Павлодар,30.07.2019 09:59,избиение
178,Павлодар,30.07.2019 06:30,избиение
179,Алма-ата,29.07.2019 23:57,избиение
180,Актобе,21.07.2019 19:24,избиение
181,Нур-Султан,03.07.2019 16:44,избиение
182,null,26.06.2019 03:09,избиение
183,Актау,23.05.2019 19:25,избиение
184,null,15.05.2019 08:38,избиение
185,null,11.05.2019 06:06,избиение
186,Алма-ата,07.05.2019 01:43,избиение
187,Алма-ата,04.05.2019 17:07,избиение
188,Алма-ата,04.05.2019 09:52,избиение
189,null,24.04.2019 12:45,избиение
190,null,03.04.2019 23:27,избиение
191,Атырау,30.03.2019 13:50,избиение
192,Актобе,26.02.2019 20:27,избиение
193,null,25.01.2019 17:36,избиение
194,Туркестан,23.01.2019 19:26,избиение
195,Алма-ата,23.01.2019 14:49,избиение
196,Туркестан,22.01.2019 20:17,избиение
197,Алма-ата,21.01.2019 13:42,избиение
198,null,19.01.2019 07:14,избиение
199,null,19.01.2019 06:17,избиение
200,Алма-ата,19.01.2019 03:16,избиение
201,null,18.01.2019 23:56,избиение
202,Алма-ата,10.01.2019 05:25,избиение
203,null,06.01.2019 23:04,избиение
204,null,28.12.2018 01:28,избиение
205,Актобе,25.12.2018 01:27,избиение
206,Актобе,20.12.2018 00:17,избиение
207,Алма-ата,29.11.2018 12:56,избиение
208,Алма-ата,15.11.2018 11:20,избиение
209,Алма-ата,07.11.2018 19:41,избиение
